BAHAWAL BASI,9
BAHERI,18
BAHERWA (HAL,9
BAHILPURWA,3
BAHIR KHANDA,63
BAHIRA KALIB,44
BAHIRGACHHI,38
BAHIRPUYA HA,43
BAHJOI,11
BAHMAN DIWAN,9
BAHMNIWALA,10
BAHORA CHAND,7
BAHRAICH,18
BAHRAM,6
BAHUARA(HALT,4
BAIDYABATI,144
BAIDYANATHDH,20
BAIGUDA,6
BAIHATA,6
BAIHATOLA,18
BAIJNATH MAN,4
BAIJNATH PAP,12
BAIJNATHPUR,8
BAIKUNTH,8
BAIKUNTH WES,6
BAIKUNTHPUR,10
BAILEY ROAD,4
BAINCHI,66
BAINCHI GRAM,62
BAIRAGARH,42
BAIRAGNIA,18
BAIRI HALT,8
BAISWARA,6
BAITALPUR,8
BAITARANI RO,15
BAIYYAPPANAH,37
BAJAKARE,2
BAJALTA,8
BAJEKHAN HAL,8
BAJPATTI,10
BAJRANJGARH,8
BAJUD,6
BAJVA,24
BAKAINA HALT,6
BAKAL,15
BAKANIAN BHA,4
BAKARKUDI,3
BAKASPUR,4
BAKAYANWALA,6
BAKHLETA,6
BAKHOTI KHAS,7
BAKHRABAD,15
BAKHRI,8
BAKHSHA,4
BAKHTIYARPUR,114
BAKKAS,6
BAKRA ROAD,4
BAKROL,8
BAKTAL,4
BAKUDI,18
BAKULHA,6
BALA GARH,42
BALABHADRAPU,6
BALAGHAT JN.,12
BALAMAU JN.,37
BALANAGAR,16
BALANGIR,46
BALANGIR ROA,4
BALAPALLE,4
BALARAMAPURA,13
BALARAMBATI,64
BALAROAD,4
BALASIRING,4
BALASORE,152
BALAWALI,8
BALE,4
BALENAHALLI,4
BALGONA,12
BALHARSHAH,154
BALIAKHERI,10
BALICHAK,62
BALIKOTIA,2
BALIMARA,4
BALIPARA,10
BALLABGARH,69
BALLALPURE,6
BALLE-DA-PIR,12
BALLEKERE,10
BALLI,8
BALLIA,76
BALLUPUR FLA,8
BALLY,238
BALLY GHAT,46
BALLY HALT,46
BALLYGUNGE J,300
BALOD,8
BALOTRA JN.,13
BALPUR,12
BALRAI,8
BALSAMAND,6
BALUGAN,75
BALURGHAT,8
BALWA,4
BALWANTPURA,2
BALWARA,4
BAMANGACHHI,112
BAMANGRAM,8
BAMANHAT,6
BAMANHERI,14
BAMANI,1
BAMANWALI,4
BAMHANI,8
BAMHRAULI,4
BAMIANA,8
BAMLA,10
BAMNIA,18
BAMOUR GAON,6
BAMRA,34
BAMSIN,4
BAMUNIGAON,8
BAMUR,4
BANAGALAPALL,6
BANAHI,26
BANAPURA,16
BANAR,8
BANARHAT,10
BANAS,4
BANASANDRA,12
BANASANKARI,8
BANASTHALI N,28
BANASWADI,33
BANAVAR,16
BANBIHARI -,6
BANCHARI,16
BAND HAMIRPU,6
BANDA JN,24
BANDAKPUR,11
BANDANWARA,4
BANDAR PH,8
BANDARKHAL,2
BANDARUPALLE,7
BANDEL JN.,325
BANDH BARETH,8
BANDHUA,4
BANDHUA KALA,6
BANDIKUI JN.,65
BANDNATH,4
BANDRA,1
BANDRA TERMI,98
BANESWAR,6
BANGA,6
BANGALBAREE,8
BANGALORE CA,99
BANGALORE EA,43
BANGAON JN.,96
BANGARI,3
BANGARMAU,4
BANGARPET JN,117
BANGI NIHAL,8
BANGRIPOSI,6
BANGROD,14
BANGURGRAM H,3
BANGURKELA,4
BANI,10
BANI BIHAR,15
BANIHAL,22
BANIYA SANDA,5
BANKA,8
BANKA GHAT,30
BANKAPASI,2
BANKATA,16
BANKHEDI,13
BANKIMNAGAR,37
BANKODA,4
BANKRA NAYAB,6
BANKURA,78
BANMANKHI JN,12
BANMORE,8
BANNI MAHAMM,4
BANNIKOPPA,2
BANO,12
BANPAS,20
BANPUR,38
BANSADHARA P,4
BANSDIH ROAD,7
BANSH BARIA,42
BANSHLAI BRI,19
BANSI PAHARP,8
BANSINALA HA,4
BANSIPUR,26
BANSKHO,6
BANSPANI,6
BANSTOLA P.H,18
BANTA RUGHNA,4
BANTANAHAL,10
BANTAWALA,12
BANTHRA,10
BANWALI,8
BAP,2
BAPATIA,65
BAPUDHAM MOT,44
BAR,4
BAR LONGFER,4
BARA,3
BARA BANI,2
BARA BANKI J,107
BARA GUDHA,8
BARA HAPJAN,2
BARA JAMADA,12
BARA-GOPAL,12
BARABAMBO,12
BARABAR HALT,10
BARABHATI,8
BARABHUM,32
BARACHAK JN.,30
BARADEV,4
BARADWAR,18
BARAGAON,6
BARAHAT,12
BARAHU,5
BARAIGRAM JN,8
BARAIPURA  H,6
BARAKALAN,5
BARAKAR,31
BARAL,9
BARALA,12
BARAMATI,8
BARAMULLA,18
BARAN,17
BARANAGAR RO,46
BARANG JN.,24
BARAPALASI,2
BARARA,25
BARARA BUZUR,4
BARASAT JN.,178
BARAUNI FLAG,24
BARAUNI JN.,179
BARAUT,25
BARAW MORE,8
BARAWAHA,8
BARAYLA CHAU,6
BARBATPUR,6
BARBIL,8
BARCHHI ROAD,3
BARDA,8
BARDDHAMAN J,319
BARDOLI,9
BAREILLY CAN,6
BAREILLY CIT,38
BAREILLY JN,14
BAREILLY JN.,168
BAREJADI NAN,32
BARELIPAR,5
BARETA,13
BARETH,5
BARGACHIA,6
BARGAON GUJA,4
BARGARH,7
BARGARH ROAD,46
BARGAWAN,11
BARGI,5
BARGOLAI,4
BARH,72
BARHAJ BAZAR,8
BARHAN JN.,10
BARHARAGANJ,8
BARHARWA JN.,54
BARHI,4
BARHIYA,64
BARHNI,26
BARI,6
BARI BRAHMAN,11
BARIARPUR,44
BARIPADA PH,16
BARIPURA,6
BARITHEN GAR,7
BARIWALA,12
BARKA HALT,20
BARKAKANA,46
BARKAKANA AV,2
BARKHEDA,4
BARKICHANPI,2
BARKIPONA,4
BARKISALAIYA,10
BARKUR,10
BARLAI,8
BARLANGA,4
BARMASIA,1
BARMER,15
BARNAGAR,9
BARNALA,24
BAROG,10
BARPALI,16
BARPATHAR,10
BARPETA ROAD,44
BARRA BAZAR,27
BARRACKPORE,264
BARRAJPUR,13
BARSALI,8
BARSATHI,4
BARSHI,15
BARSI TAKLI,6
BARSOI JN.,92
BARSOLA,23
BARSUAN,2
BARTARA  HAL,1
BARUA BAMUNG,6
BARUA CHAK,4
BARUA NAGAR,4
BARUD,6
BARUI PARA,70
BARUIPUR JN.,156
BARUNA,12
BARUNDNI,4
BARUVA,7
BARWA KALAN,10
BARWA SAGAR,10
BARWADIH JN,34
BARWALA,12
BARWALAROAD,2
BARWASNI HAL,4
BARYA RAM,6
BARYAL HIMAC,13
BASAI,10
BASAI DHANKO,24
BASAMPALLE,2
BASANTAPUR,4
BASAR,43
BASARI,2
BASAVANA BAG,15
BASBARI,6
BASERI,2
BASHARATGANJ,12
BASI KIRATPU,8
BASIN BRIDGE,268
BASIRHAT,44
BASKATWA BH,4
BASMAT,22
BASNI,14
BASSI,8
BASSI BERISA,4
BASSI PATHAN,10
BASTA,24
BASTI,103
BASTOI (HALT,8
BASUCHAK HAL,14
BASUDEBPUR H,12
BASUDEOPUR C,12
BASUGAON,10
BASUKINATH,8
BASULDANGA,54
BASULYA SUTA,8
BASWA,14
BATADRAWA RO,2
BATALA JN.,24
BATALA SUGAR,9
BATASI,4
BATASPUR,19
BATESAR,2
BATHINDA CAN,12
BATHINDA JN,82
BATHNA KRITT,17
BATHNAHA,15
BATHUA BAZAR,2
BATTULAPURAM,2
BATUVA. P.H.,7
BAUDPUR,9
BAURIA JN,114
BAVLA,10
BAWAL,10
BAWANI KHERA,16
BAWLI HALT,18
BAYAD,4
BAYANA,54
BAYTU,11
BAYYAVARAM,7
BAZARASU,38
BAZARGHAT,4
BAZIDA JATAN,11
BAZPUR,16
BEAS JN,108
BEAWAR,41
BEBEJIA,4
BECHRAJI,4
BEDETTI,6
BEDHAM,6
BEGAMPET,160
BEGAMPUR,70
BEGDAEWAI,45
BEGU SARAI,73
BEGUNIA,4
BEGUNKODAR,10
BEHAJ,6
BEHTA HAZIPU,22
BEHTAGOKAL,10
BEHULA,39
BEJNAL,4
BELA,38
BELA NAGAR,66
BELA TAL,8
BELAGULA,8
BELAKOBA,22
BELANDUR ROA,10
BELANKI,4
BELAPUR,39
BELAPUR C.B.,99
BELASAR  HAL,8
BELBONI PH,11
BELDA,31
BELDANGA,31
BELERHAT,34
BELGAHNA,18
BELGAUM,53
BELGHARIA,219
BELHA,28
BELIAGHATA R,44
BELIATOR PH,11
BELKHEDA,9
BELLAM KONDA,6
BELLAMPALLI,49
BELLARY JN.,38
BELLARYCANTT,4
BELMURI,57
BELPAHAR,16
BELRAYAN,14
BELSIRI,12
BELSONDA,6
BELTHARA ROA,26
BELUR,295
BELURMATH,12
BELVANDI,6
BEML NAGAR,22
BENAL H,5
BENAPUR,13
BENDI,8
BENIGANJ,4
BENIPATTI PI,7
BENIPURGRAM,2
BENISAR,8
BENODA,3
BENOY BADAL,33
BEOHARI,13
BERAWANYA,12
BERCHHA,44
BERHAMPORE C,31
BERHAMPUR,145
BERIA DAULAT,8
BERMO,8
BERO,19
BERORE,4
BERUGRAM,9
BES,4
BESROLI,2
BETAMCHERLA,20
BETAWAD,4
BETGARA,4
BETHAMPURDI,12
BETHERIA GHO,52
BETHUADAHARI,31
BETNOTI PH,12
BETTADANAGEN,6
BETTAHALASUR,6
BETTIAH,40
BETUL,88
BETUR PH,9
BEVINAHALU,10
BEWAR BHOJAN,8
BHABHAR,6
BHABTA,25
BHABUA ROAD,64
BHACHAU,32
BHACHHBAR,2
BHADAIYAN,4
BHADAN,9
BHADANPUR,6
BHADAURA,24
BHADBHUNJA,5
BHADER,6
BHADLI,10
BHADOHI,39
BHADRACHALAM,12
BHADRAKH,130
BHADRAULI,2
BHADRAVATI,20
BHADRESHWAR,144
BHADRI,4
BHADROLI HAL,6
BHADUTOLA PH,6
BHADWA PARA,8
BHAGA JN,12
BHAGALPUR,78
BHAGAT-KI-KO,36
BHAGEGA,6
BHAGIRATHPUR,10
BHAGSAR,9
BHAGTANWALA,8
BHAGUAPAL,4
BHAGWANGOLA,29
BHAGWANPUR,22
BHAGWANPUR D,12
BHAGWANSAR,14
BHAINA H,38
BHAINI KHURD,11
BHAINSA,6
BHAIRABI,2
BHAIRANAYAKA,12
BHAIRONGARH,10
BHAIRONPUR,4
BHAJERA,6
BHAKARAPET,4
BHAKRAULI,6
BHAKTINAGAR,21
BHALEJ,13
BHALKI,21
BHALOJALA  H,8
BHALUA,2
BHALUI,22
BHALUKA ROAD,22
BHALUKMARA,4
BHALUKPONG,2
BHALULATA,6
BHALUMASKA,6
BHALWANI,4
BHAMBHEWA,4
BHAN KARI,4
BHANAPUR,7
BHANAUR,4
BHANDAI,8
BHANDAK,6
BHANDARA RD,46
BHANDARIDAH,8
BHANDARTIKUR,39
BHANDEWADI H,8
BHANDU MOTI,6
BHANDUP,373
BHANGA,10
BHANGALA,6
BHANJPUR,10
BHANKALA,10
BHANOHAD PUN,8
BHANSI,2
BHANVAD,15
BHANWAR TONK,12
BHARAT KHAND,6
BHARAT KUP,5
BHARATGARH,12
BHARATKUND,4
BHARATNAGAR,108
BHARATPUR JN,95
BHARATWADA,4
BHARMAR,13
BHAROLI,18
BHARSENDI,3
BHARTHANA,22
BHARUCH JN.,155
BHARUR HALT,12
BHARWA-SUMER,8
BHARWARI,10
BHASILA,44
BHATAPARA,84
BHATAR,12
BHATASA (HAL,6
BHATEL,6
BHATIA,10
BHATIEL,16
BHATISUDA,12
BHATKAL,30
BHATNI JN.,74
BHATPAR RANI,25
BHATPURA,4
BHATTIAN,2
BHATTIPROLU,14
BHATTU,14
BHAUPUR,9
BHAVANI NAGA,6
BHAVDHARI,2
BHAVNAGAR PA,24
BHAVNAGAR TE,32
BHAWANI MAND,46
BHAWANIPATNA,6
BHAWANIPUR B,6
BHAWANIPUR K,8
BHAWI,2
BHAYANDAR,3
BHAYAVADAR,4
BHEDIA,22
BHEDUASOL,19
BHEEMPURA,4
BHEERPUR,8
BHEJA,2
BHENSWADI,4
BHERAGHAT,9
BHESLANA,6
BHESTAN,17
BHETAGURI,8
BHETASI,4
BHIGVAN,16
BHIKAMKOR,2
BHIKNUR,12
BHILAD,29
BHILAI,31
BHILAI POWER,57
BHILAINAGAR,31
BHILAVDI,10
BHILDI JN,20
BHILGAON,4
BHILUPUR,8
BHILWARA,42
BHIMADOLU,16
BHIMAL,6
BHIMANA,4
BHIMARLAI,5
BHIMASAR,4
BHIMAVARAM J,42
BHIMAVARAM T,44
BHIMGARA JN.,12
BHIMKHOJ,6
BHIMNATH,8
BHIMRANA,5
BHIMSEN,18
BHIND,12
BHINWALIYA,4
BHIRA KHERI,14
BHIRINGI,4
BHISA HALT,2
BHITAURA,6
BHITI,9
BHITONI,11
BHIVPURI ROA,73
BHIWANDI ROA,48
BHIWANI CITY,10
BHIWANI JN.,50
BHIWAPUR,8
BHODWAL MAJR,19
BHOGPUR,87
BHOGPUR SIRW,8
BHOJIPURA JN,24
BHOJO,12
BHOJRAS,2
BHOJUDIH JN.,41
BHOKAR,13
BHOKE,4
BHOLIDIH,4
BHONE,4
BHONGAON,8
BHONGIR,28
BHONRA,4
BHOPAL,239
BHOPALKA,6
BHOPATPUR,10
BHORAS BUDRU,6
BHORTEX,4
BHOTEPATTI,4
BHOWRA BH,10
BHOYANI,4
BHUA,4
BHUBANESWAR,248
BHUCHCHU,16
BHUDA,6
BHUDPUR,18
BHUGAON,4
BHUKARKA,2
BHULANPUR F,18
BHULI,14
BHULON,4
BHUPADEOPUR,12
BHUPAL SAGAR,6
BHUPIA MAU,8
BHURKUNDA,10
BHUSANDPUR,17
BHUSAVAL JN.,298
BHUTESHWAR,16
BHUTKIYA BHI,2
BHUYAR,8
BHYABLA,44
BIBHUTI BHUS,38
BIBINAGAR,23
BICHIA,12
BICHPURI,12
BIDADI,34
BIDANPUR,2
BIDAR,33
BIDHANNAGAR,404
BIDIYAD,2
BIDYADABRI,4
BIDYADHARPUR,60
BIGGA,8
BIGGABAS RAM,8
BIGHAPUR,10
BIHAIROGANJ,14
BIHAR SHARIF,18
BIHARA,2
BIHAT HALT,6
BIHIYA,36
BIHTA,44
BIJAINAGAR,26
BIJAIPUR ROA,4
BIJAPUR JN,36
BIJAULI,6
BIJAURIA,10
BIJBIARA,20
BIJNI,16
BIJNOR,12
BIJOOR,8
BIJORA,4
BIJROTHA,6
BIJULI HALT,3
BIJURI,21
BIJWASAN,25
BIKANER JN.,65
BIKKAVOLU,11
BIKNAPH,11
BIKRAM GANJ,12
BIKRAMPUR,9
BIKRAMSHILA,16
BILARA,2
BILASPUR JN.,169
BILASPUR ROA,12
BILDI,9
BILESHWAR,5
BILGA,11
BILHAR GHAT,5
BILHAUR,13
BILIMORA JN.,41
BILKHA,4
BILLI,9
BILOCHPURA (,6
BILPUR,14
